Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CS-001,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [SET_TOP_BOX_ULTRA],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX_ULTRA,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: SET_TOP_BOX_ULTRA
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-002,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [SET_TOP_BOX],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: SET_TOP_BOX
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-003,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [SET_TOP_BOX_ULTI],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX_ULTI,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: SET_TOP_BOX_ULTI
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-004,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [ANDROID],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: ANDROID,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: ANDROID
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-005,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [IOS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: IOS,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: IOS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-006,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [TABLET],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: TABLET,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: TABLET
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-007,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [IPAD],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: IPAD,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: IPAD
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-008,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [WEB],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: WEB,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: WEB
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-009,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [ANDROID_TV],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: ANDROID_TV,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: ANDROID_TV
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-010,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [LG_HTML_TV],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: LG_HTML_TV,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: LG_HTML_TV
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-011,Config Service,Config service,GET /config-service/pub/v1/platform-configs,GET /config-service/pub/v1/platform-configs — 200 and status true for each platform header value [SAMSUNG_HTML_TV],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SAMSUNG_HTML_TV,"1. Call API: GET /config-service/pub/v1/platform-configs
2. Use variant/parameters: SAMSUNG_HTML_TV
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getPlatformConfigs_forEachPlatform_returnsOk,
CS-012,Config Service,Config service,GET /config-service/pub/v1/operator-configs,GET /config-service/pub/v1/operator-configs — 200 and status true (single call; profileid from properties),"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /config-service/pub/v1/operator-configs
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getOperatorConfigs_returnsOk,
CS-013,Config Service,Config service,GET /config-service/pub/v1/image-configs,GET /config-service/pub/v1/image-configs — 200 and status true (single call; profileid from properties),"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /config-service/pub/v1/image-configs
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getImageConfigs_returnsOk,
CS-014,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [SET_TOP_BOX_ULTRA],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX_ULTRA,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: SET_TOP_BOX_ULTRA
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
CS-015,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [SET_TOP_BOX],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: SET_TOP_BOX
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
CS-016,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [SET_TOP_BOX_ULTI],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: SET_TOP_BOX_ULTI,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: SET_TOP_BOX_ULTI
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
CS-017,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [ANDROID],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: ANDROID,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: ANDROID
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
CS-018,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [IOS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: IOS,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: IOS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
CS-019,Config Service,Config service,GET /config-service/v1/avatars (per platform),GET /config-service/v1/avatars — 200 and status true for each platform (limit/offset from properties) [TABLET],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: TABLET,"1. Call API: GET /config-service/v1/avatars (per platform)
2. Use variant/parameters: TABLET
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ConfigService.java#configService_getAvatars_forEachPlatform_returnsOk,
