Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CW-001,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue,"GET continue-watch first page (limit 20, offset 0); DELETE each item returned to clear list",Logged-in subscriber with valid auth headers.,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",Setup/teardown completes successfully; state ready for next step.,N/A (API contract test),P3,Setup/Teardown,Automated,ContinueWatch.java#getContinueWatchFirstPage,
CW-002,Continue Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (movie),POST subscriber-continue-watch — add movie to CW,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (movie)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#addMovieToContinueWatch,
CW-003,Continue Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (tvshow),POST subscriber-continue-watch — add TV show to CW,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (tvshow)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#addTvShowToContinueWatch,
CW-004,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (validation),GET continue-watch after adds — movie & TV ids present; no series/boxset in list,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (validation)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#getContinueWatchAfterAdds_validatesListPolicyAndAddedIds,
CW-005,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/content/recent (movie),GET continue-watch/content/recent — movie id reports recent CW status,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/content/recent (movie)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#getRecentContinueWatchContent_movieConfiguredId,
CW-006,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/content/recent (tvshow),GET continue-watch/content/recent — TV show id reports recent CW status,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/content/recent (tvshow)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#getRecentContinueWatchContent_tvShowConfiguredId,
CW-007,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/content/recent/{seriesId},GET continue-watch/content/recent/{seriesId} — all episode ids; single primary=true matches configured TV,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/content/recent/{seriesId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#getRecentContinueWatchBySeries_episodeIdsAndPrimaryMatchesConfiguredTv,
CW-008,Continue Watch,Continue watch,POST /subscriber-event-service/v3/continue-watch/contents/progress,POST continue-watch/contents/progress — body map from GET CW ids (contentId -> contentType),Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-event-service/v3/continue-watch/contents/progress
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#postContinueWatchContentsProgress_payloadBuiltFromGetCwList,
CW-009,Continue Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/content/boxset/{boxsetId},GET continue-watch/content/boxset/{boxsetId} — linked movies with progress,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/content/boxset/{boxsetId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#getContinueWatchBoxsetContent_linkedMoviesIncludeProgress,
CW-010,Continue Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (series),POST subscriber-continue-watch — add series to CW,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (series)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#addSeriesToContinueWatch,
CW-011,Continue Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset),POST subscriber-continue-watch — add boxset to CW,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatch.java#addBoxsetToContinueWatch,
