Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
BBW-001,Boxset Binge Watch,Continue watch,DELETE /subscriber-event-service/v3/continue-watch/ (initial clean slate),Step 1 — GET continue-watch and DELETE each item on the list,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: DELETE /subscriber-event-service/v3/continue-watch/ (initial clean slate)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,BoxsetBingeWatchScenarios.java#step01_getContinueWatchAndDeleteAllItems,
BBW-002,Boxset Binge Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (M1 partial),Step 2 — POST shared movie M1 partial watch below 97% (hasCompletedPlayBack=false),Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (M1 partial)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Boundary,Automated,BoxsetBingeWatchScenarios.java#step02_addSharedMovieM1PartialBelow96Percent,
BBW-003,Boxset Binge Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (M1 partial),Step 3 — GET CW: shared movie M1 (39889e62…) must be present,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (M1 partial)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,BoxsetBingeWatchScenarios.java#step03_getContinueWatch_m1PresentOnly,
BBW-004,Boxset Binge Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (M1 completed),Step 4 — POST shared movie M1 with hasCompletedPlayBack=true,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (M1 completed)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,BoxsetBingeWatchScenarios.java#step04_addSharedMovieM1CompletedHasCompletedPlayBackTrue,
BBW-005,Boxset Binge Watch,Continue watch,GET continue-watch + watch-again (after M1 completion),"Step 5 — GET CW: M1 absent, T1 present (shared once); GET WA: M1 present",Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET continue-watch + watch-again (after M1 completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,BoxsetBingeWatchScenarios.java#step05_getCw_m1AbsentT1Present_getWa_m1Present,
BBW-006,Boxset Binge Watch,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (T1 completed),Step 6 — POST shared TV T1 with hasCompletedPlayBack=true,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (T1 completed)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,BoxsetBingeWatchScenarios.java#step06_addSharedTvT1CompletedHasCompletedPlayBackTrue,
BBW-007,Boxset Binge Watch,Continue watch,GET /subscriber-event-service/v3/watch-again (M1 + T1 after T1 completion),Step 7 — GET WA: M1 and T1 episode must both be present,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/watch-again (M1 + T1 after T1 completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,BoxsetBingeWatchScenarios.java#step07_getWatchAgain_m1AndT1Present,
BBW-008,Boxset Binge Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (M2+M3 after T1 completion),Step 8 — GET CW: M2 (boxset1) and M3 (boxset2) present; T1 absent,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (M2+M3 after T1 completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,BoxsetBingeWatchScenarios.java#step08_getContinueWatch_m2AndM3Present_t1Absent,
BBW-009,Boxset Binge Watch,Continue watch,POST + GET continue-watch / watch-again (M2 completion),Step 9 — POST M2 complete; GET CW: M2 absent; GET WA: M2 present,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST + GET continue-watch / watch-again (M2 completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,BoxsetBingeWatchScenarios.java#step09_addM2Completed_getCw_m2Absent_getWa_m2Present,
BBW-010,Boxset Binge Watch,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (T2 promoted after M2),Step 10 — GET CW: T2 (boxset1) present; T3 (boxset2) absent,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (T2 promoted after M2)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,BoxsetBingeWatchScenarios.java#step10_getContinueWatch_t2Present_t3Absent,
