Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CD-001,Content Detail,Content detail,GET /content-detail-service/pub/v1/series/{seriesId} — close series,GET close-series editorial detail (series/{id}),"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/series/{seriesId} — close series
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_1_v1_closedSeriesDetail_Valid,
CD-002,Content Detail,Content detail,GET /content-detail-service/pub/v1/series/{seriesId} — open series,GET open-series editorial detail (series/{id}),"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/series/{seriesId} — open series
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_3_v1_openSeriesDetail_Valid,
CD-003,Content Detail,Content detail,GET /content-detail-service/pub/v1/season_episode/{seasonId},GET season_episode list for close-series season 1,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/season_episode/{seasonId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_2_v1_seasonEpisodeDetail_Valid,
CD-004,Content Detail,Content detail,GET /content-detail-service/pub/v1/series_episode/{seriesId},GET series_episode list for open-series editorial id,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/series_episode/{seriesId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_4_v1_seriesEpisodeDetail_Valid,
CD-005,Content Detail,Content detail,GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId},GET series/{seriesId}/episode/{episodeId} view-all with type=NEXT|PREVIOUS|PREVIOUS_NEXT [NEXT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: NEXT,"1. Call API: GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId}
2. Use variant/parameters: NEXT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_21_v1_viewAll_Next_Valid,
CD-006,Content Detail,Content detail,GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId},GET series/{seriesId}/episode/{episodeId} view-all with type=NEXT|PREVIOUS|PREVIOUS_NEXT [PREVIOUS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: PREVIOUS,"1. Call API: GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId}
2. Use variant/parameters: PREVIOUS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_21_v1_viewAll_Previous_Valid,
CD-007,Content Detail,Content detail,GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId},GET series/{seriesId}/episode/{episodeId} view-all with type=NEXT|PREVIOUS|PREVIOUS_NEXT [PREVIOUS_NEXT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: PREVIOUS_NEXT,"1. Call API: GET /content-detail-service/pub/v1/series/{seriesId}/episode/{episodeId}
2. Use variant/parameters: PREVIOUS_NEXT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_21_v1_viewAll_PreviousNext_Valid,
CD-008,Content Detail,Content detail,GET /content-detail-service/pub/v1/tv_show/{episodeId},GET tv_show for configured episode editorial id,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/tv_show/{episodeId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_5_v1_episodeDetail_Valid,
CD-009,Content Detail,Content detail,BingeWatch — GET /content-detail-service/pub/v1/episode/{episodeId}/{direction} (NEXT|PREVIOUS),BingeWatch: GET episode/{episodeId}/{direction} — adjacent episode; direction NEXT or PREVIOUS only [NEXT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: NEXT,"1. Call API: BingeWatch — GET /content-detail-service/pub/v1/episode/{episodeId}/{direction} (NEXT|PREVIOUS)
2. Use variant/parameters: NEXT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_14_v1_bingeWatch_Next_Valid,
CD-010,Content Detail,Content detail,BingeWatch — GET /content-detail-service/pub/v1/episode/{episodeId}/{direction} (NEXT|PREVIOUS),BingeWatch: GET episode/{episodeId}/{direction} — adjacent episode; direction NEXT or PREVIOUS only [PREVIOUS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: PREVIOUS,"1. Call API: BingeWatch — GET /content-detail-service/pub/v1/episode/{episodeId}/{direction} (NEXT|PREVIOUS)
2. Use variant/parameters: PREVIOUS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_14_v1_bingeWatch_Previous_Valid,
