Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
VSP-001,VR Search Proxy,VR Search Proxy,GET global-content-search (logged-in),GET /search-proxy/v1/global-content-search — logged-in user receives non-empty contents,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.recommendation.proxy.* / vrgo.search.proxy.* from environment properties,"1. Call API: GET global-content-search (logged-in)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#globalContentSearch_loggedInUser_returnsResults,
VSP-002,VR Search Proxy,VR Search Proxy,GET global-content-search (guest),GET /search-proxy/pub/v1/global-content-search — guest user receives non-empty contents,Guest user session with valid guest bearer token and x-api-key.,vrgo.recommendation.proxy.* / vrgo.search.proxy.* from environment properties,"1. Call API: GET global-content-search (guest)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#globalContentSearch_guestUser_returnsResults,
VSP-003,VR Search Proxy,VR Search Proxy,GET search-suggester (logged-in),GET /search-proxy/v1/search-suggester — logged-in user receives non-empty suggestions,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.recommendation.proxy.* / vrgo.search.proxy.* from environment properties,"1. Call API: GET search-suggester (logged-in)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchSuggester_loggedInUser_returnsResults,
VSP-004,VR Search Proxy,VR Search Proxy,GET search-suggester (guest),GET /search-proxy/pub/v1/search-suggester — guest user receives non-empty suggestions,Guest user session with valid guest bearer token and x-api-key.,vrgo.recommendation.proxy.* / vrgo.search.proxy.* from environment properties,"1. Call API: GET search-suggester (guest)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchSuggester_guestUser_returnsResults,
VSP-005,VR Search Proxy,VR Search Proxy,GET search-by-usecase (logged-in),GET /search-proxy/v1/search-by-usecase — logged-in user receives HTTP 200 for each use-case [trending_on_astro],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: trending_on_astro,"1. Call API: GET search-by-usecase (logged-in)
2. Use variant/parameters: trending_on_astro
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_loggedInUser_returnsResults,
VSP-006,VR Search Proxy,VR Search Proxy,GET search-by-usecase (logged-in),GET /search-proxy/v1/search-by-usecase — logged-in user receives HTTP 200 for each use-case [popular_search],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: popular_search,"1. Call API: GET search-by-usecase (logged-in)
2. Use variant/parameters: popular_search
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_loggedInUser_returnsResults,
VSP-007,VR Search Proxy,VR Search Proxy,GET search-by-usecase (logged-in),GET /search-proxy/v1/search-by-usecase — logged-in user receives HTTP 200 for each use-case [recommend_subgenre_comedy],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: recommend_subgenre_comedy,"1. Call API: GET search-by-usecase (logged-in)
2. Use variant/parameters: recommend_subgenre_comedy
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_loggedInUser_returnsResults,
VSP-008,VR Search Proxy,VR Search Proxy,GET search-by-usecase (logged-in),GET /search-proxy/v1/search-by-usecase — logged-in user receives HTTP 200 for each use-case [recommend_subgenre_action],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: recommend_subgenre_action,"1. Call API: GET search-by-usecase (logged-in)
2. Use variant/parameters: recommend_subgenre_action
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_loggedInUser_returnsResults,
VSP-009,VR Search Proxy,VR Search Proxy,GET search-by-usecase (logged-in),GET /search-proxy/v1/search-by-usecase — logged-in user receives HTTP 200 for each use-case [top_10_home],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: top_10_home,"1. Call API: GET search-by-usecase (logged-in)
2. Use variant/parameters: top_10_home
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_loggedInUser_returnsResults,
VSP-010,VR Search Proxy,VR Search Proxy,GET search-by-usecase (guest),GET /search-proxy/pub/v1/search-by-usecase — guest user receives HTTP 200 for each use-case [trending_on_astro],Guest user session with valid guest bearer token and x-api-key.,Environment properties + variant: trending_on_astro,"1. Call API: GET search-by-usecase (guest)
2. Use variant/parameters: trending_on_astro
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,VRSearchProxy.java#searchByUsecase_guestUser_returnsResults,
