Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
RP-001,Recommendation Proxy,Recommendation Proxy,GET content-by-usecase (more_like_this_vod),GET /recommendation-proxy/v1/content-by-usecase — returns non-empty recommendation results for more_like_this_vod,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.recommendation.proxy.* / vrgo.search.proxy.* from environment properties,"1. Call API: GET content-by-usecase (more_like_this_vod)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#contentByUsecase_moreLikeThisVodies_returnsResults,
RP-002,Recommendation Proxy,Recommendation Proxy,GET content-by-usecase (more_like_this_epg),GET /recommendation-proxy/v1/content-by-usecase — more_like_this_epg with channelDay contentId from channel-day,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET content-by-usecase (more_like_this_epg)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#contentByUsecase_moreLikeThisEpg_channelDayEventId_returnsResults,
RP-003,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [dont_miss]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: dont_miss,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: dont_miss
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-004,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [popular_top_10]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: popular_top_10,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: popular_top_10
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-005,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [trending_sports]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: trending_sports,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: trending_sports
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-006,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [personalised_boxset]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: personalised_boxset,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: personalised_boxset
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-007,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [popular_top_10_kids]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: popular_top_10_kids,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: popular_top_10_kids
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-008,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [trending_shows]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: trending_shows,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: trending_shows
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-009,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [trending_movie_kids]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: trending_movie_kids,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: trending_movie_kids
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-010,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [featured_hero]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: featured_hero,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: featured_hero
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-011,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [recently_added]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: recently_added,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: recently_added
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-012,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [Because_You_Watched]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: Because_You_Watched,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: Because_You_Watched
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
RP-013,Recommendation Proxy,Recommendation Proxy,GET rail-by-usecase (all pages),"GET /recommendation-proxy/v1/rail-by-usecase — passes when any page (home, movies, tv shows, sports, kids) returns 200 with data [top_10_home]","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: top_10_home,"1. Call API: GET rail-by-usecase (all pages)
2. Use variant/parameters: top_10_home
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,RecommendationProxy.java#railByUsecase_allPages_returnsResults,
