Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CWS-001,Continue Watch Scenarios,Continue watch,DELETE /subscriber-event-service/v3/continue-watch/ (pre-scenario cleanup),DELETE all existing CW items — clean slate before series-episode scenario,Logged-in subscriber with valid auth headers.,Configured content/channel ids from environments/<env>.properties,"1. Call API: DELETE /subscriber-event-service/v3/continue-watch/ (pre-scenario cleanup)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",Setup/teardown completes successfully; state ready for next step.,N/A (API contract test),P3,Setup/Teardown,Automated,ContinueWatchScenarios.java#deleteAllCwItems_cleanSlateBeforeScenario,
CWS-002,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (series EP1 partial watch),POST series EP1 with hasCompletedPlayBack=false — watchDuration < 97% of total; EP1 must appear in CW list,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (series EP1 partial watch)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Boundary,Automated,ContinueWatchScenarios.java#addEp1WithPartialDuration_ep1AppearsInCwList,
CWS-003,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (EP1 partial validation),GET continue-watch after partial EP1 — EP1 must be present in list with non-zero progress,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (EP1 partial validation)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#getCwAfterPartialEp1_ep1PresentWithNonZeroProgress,
CWS-004,Continue Watch Scenarios,Continue watch,POST /subscriber-event-service/cw/v3/progress (EP1 partial progress verification),POST cw/v3/progress after partial EP1 — EP1 must have non-zero watchDuration / progress,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-event-service/cw/v3/progress (EP1 partial progress verification)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#postCwProgressV3_ep1HasNonZeroProgressAfterPartialWatch,
CWS-005,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (series EP1 completed >= 97%),POST series EP1 with hasCompletedPlayBack=true — watchDuration >= 97% of total; triggers EP1 completion,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (series EP1 completed >= 97%)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Boundary,Automated,ContinueWatchScenarios.java#addEp1WithCompletedDuration_ep1MarkedAsCompleted,
CWS-006,Continue Watch Scenarios,Continue watch,"GET /subscriber-event-service/v3/continue-watch/continue (EP1 complete: EP1 absent, next episode at 0%)",GET continue-watch after EP1 completion — EP1 absent; next episode present with progress 0,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (EP1 complete: EP1 absent, next episode at 0%)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#getCwAfterCompletedEp1_ep1AbsentEp2PresentWithZeroProgress,
CWS-007,Continue Watch Scenarios,Continue watch,"POST /subscriber-event-service/cw/v3/progress (EP1 absent after completion, next episode at 0%)",POST cw/v3/progress after EP1 completion — EP1 absent; next episode at 0,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-event-service/cw/v3/progress (EP1 absent after completion, next episode at 0%)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#postCwProgressV3_ep1CompletedAndNextEpisodeAtZeroProgress,
CWS-008,Continue Watch Scenarios,Continue watch,POST /subscriber-event-service/v3/continue-watch/contents/progress (EP1 excluded post-completion),POST contents/progress — payload built from GET CW must exclude EP1 (no zero-progress EP1 after completion),Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-event-service/v3/continue-watch/contents/progress (EP1 excluded post-completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#postContinueWatchContentsProgress_ep1AbsentFromPayloadAfterCompletion,
CWS-009,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/content/recent (EP1 not at zero after completion),GET continue-watch/content/recent for EP1 — must not return EP1 with zero progress after completion,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/content/recent (EP1 not at zero after completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#getRecentContinueWatchContent_ep1NotPresentWithZeroProgressAfterCompletion,
CWS-010,Continue Watch Scenarios,Continue watch,DELETE /subscriber-event-service/v3/continue-watch/ (boxset-movies pre-scenario cleanup),DELETE all existing CW items — clean slate before boxset-movies scenario,Logged-in subscriber with valid auth headers.,Configured content/channel ids from environments/<env>.properties,"1. Call API: DELETE /subscriber-event-service/v3/continue-watch/ (boxset-movies pre-scenario cleanup)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",Setup/teardown completes successfully; state ready for next step.,N/A (API contract test),P3,Setup/Teardown,Automated,ContinueWatchScenarios.java#deleteAllCwItems_boxsetMoviesCleanSlate,
